Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
AA17,0.344665805,-0.071577503,0.261859593,-0.083831045,-0.309512612,-0.209860778,-0.125197831,-0.117740779,-0.200737014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA18,0.240657253,-0.389674589,-0.467067692,-0.249918268,0.066259078,0.564179198,0.431072649,0.623751793,-0.172210029,-0.043050677,1.032469087,0.82334856,-0.063326454,-0.579784344,-0.201408059,0.433686766,1.197860214,0.74400095,0.587082093,-0.200942082,0.124718658,0.185110578,0.096185162,-0.155104497,-0.307861031,-0.221969062,0.749801249,-0.216258293,0.138497646,0.115257796,-0.976305817,0.417584083,0.232793845,0.875192363,-0.060992667,-0.87898791,-0.135967546,-0.382600966,-0.362030542,-0.861254197
AA19,-0.927224381,-0.891279934,-0.89976816,-0.739074358,-0.492215338,-0.417995214,-0.786366472,-0.998445613,-0.851849929,-0.737678434,-0.792069092,-0.814133623,-0.842443825,-0.681916804,-0.820013195,-0.821417151,1.269320583,0.748429718,-0.916015647,-0.971656593,-0.952784567,-0.946447249,-0.929742896,-0.803051782,-0.809544955,-0.713051224,-0.898092227,-0.959773244,-0.940352613,-0.463411525,-0.93481471,-0.847896564,1.104874447,0.307561148,-0.64912262,-0.793413468,-0.780441168,-0.851447208,-0.820556344,NA
AA20,4.268609809,3.563955499,1.583548393,0.739003118,0.386405824,0.550308442,2.42535932,3.096557776,1.842945414,1.477634775,1.290858178,1.63685052,0.836957398,1.731201155,1.431249717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA21,-1.124539675,-0.641322247,-0.586209749,-0.575016011,-0.063107767,-0.645673098,-0.889574453,-0.932115202,-0.930147674,-0.958190378,-0.695031532,-0.829978425,-0.540196687,-0.436196307,-0.369702218,0.035438298,-0.164595974,-0.213166825,0.104052726,-0.277015629,0.115467742,0.436823527,0.853157293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA22,-0.665669571,-0.730796709,-0.808973045,-0.791034667,-0.885118167,-0.538101388,-0.644608329,-0.786255113,-0.81610412,-0.823958176,-0.790434183,-0.747032799,-0.791359318,-0.264032406,-0.539629265,-0.418786668,-0.626232442,-0.314096479,-0.764961288,-0.629723028,-0.699933673,-0.481831298,-0.557530187,-0.639993094,-0.701666104,-0.907700073,-0.867160006,-0.84316646,-0.691910488,-0.66483219,-0.877663988,-0.623963019,-0.82836321,-0.592274919,NA,NA,NA,NA,NA,NA
AA23,-0.846136522,-0.789436296,-0.682162871,-0.595095505,-0.258661711,-0.16770505,-0.452061269,-0.630007695,-0.6410874,-0.761586363,-0.732421021,-0.449386952,-0.6093152,-0.755885988,-0.824599894,-0.792818387,-0.787320634,-0.692312163,-0.765374699,-0.806010242,-0.744328592,-0.732238979,-0.662269588,-0.673955216,-0.669767174,-0.591033138,-0.251252998,-0.364367472,-0.645348908,-0.577535031,-0.245645021,-0.332061676,-0.629185033,-0.643144839,NA,NA,NA,NA,NA,NA
AA25,0.162783916,-0.505860831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA32,-0.935485597,-0.889737722,-0.887528939,-0.821207958,-0.81983593,-0.902274483,-0.939936773,-0.924052619,-0.861827608,-0.610228682,-0.479577628,-0.772554341,-0.825523565,-0.623059462,-0.693283861,-0.735652947,-0.801078308,-0.885471565,-0.907236333,-0.892165341,-0.876044044,-0.822477608,-0.796083767,-0.620973764,-0.759500456,-0.746094126,-0.823677525,-0.857850237,-0.884425909,-0.204960286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA33,-0.865840875,-0.289639228,-0.100457038,-0.401316684,-0.628674303,-0.664184605,-0.664890907,-0.525123721,-0.751975159,-0.785343007,-0.542873823,-0.688348533,-0.382802288,-0.571757638,-0.648189437,-0.686844833,-0.529430322,-0.154793417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
