Site,Alt_z,Alt_z2,Rgd_z,Rgd2_z,Available_z,Rgd_Availz,Forest_z,NDVI_z,ForestXNDVI,Altitude,Rugged,Rgd^2,Available,Rgd_Avail,Forest_Cov,NDVI
AA17,1.85826736,3.453157581,2.584316085,6.678689629,1.118216031,2.633794848,-0.419870852,-0.8754861,0.367591095,2942.01001,71.5498962,5119.387646,45997,83.843399,459,0.0812881
AA18,1.4240758,2.027991885,1.217847606,1.483152792,1.360767242,0.76923447,-0.458740469,-0.471857242,0.216460013,2734.959961,48.5946007,2361.435217,50574,60.2909012,0,0.103856
AA19,0.320992493,0.103036181,-0.569146387,0.32392761,-0.465282492,0.215997698,-0.458740469,-0.644144286,0.295495052,2208.939941,18.5748997,345.0268989,16116,53.3026009,0,0.094223
AA20,1.777279555,3.158722617,2.488167696,6.190978482,1.93807834,1.977753289,-0.458740469,-0.525458848,0.241049239,2903.389893,69.9347,4890.862264,61468,75.5565033,0,0.100859
AA21,-0.170804348,0.029174125,1.394566548,1.944815855,1.212968394,1.340608149,-0.458740469,0.166765564,-0.076502113,1974.420044,51.5633011,2658.77402,47785,67.5083008,0,0.139563
AA22,-0.883587187,0.780726318,-0.519857661,0.270251988,-0.471959671,-0.005334946,-0.458740469,-0.436087068,0.200050786,1634.52002,19.4029007,376.4725556,15990,50.5068016,0,0.105856
AA23,-1.172076675,1.373763732,-0.901713901,0.813087959,-1.045826192,-0.154784954,-0.458740469,-0.979049697,0.449129717,1496.949951,12.9881001,168.6907442,5161,48.6189995,0,0.0754976
AA25,-1.813161695,3.287555333,-1.429399684,2.043183458,-1.179952719,-0.666419824,-0.458740469,-2.086259998,0.95705189,1191.23999,4.1235099,17.0033339,2630,42.1562004,0,0.0135907
AA32,-1.050993794,1.104587955,-1.045609442,1.093299105,-1.049217776,-0.910322956,-0.458740469,-0.546988916,0.250925952,1554.689941,10.5707998,111.7418084,5097,39.0752983,0,0.0996552
AA33,-0.646789962,0.418337256,-0.744502122,0.55428341,-0.709529494,-0.59721287,-0.458740469,-0.374580253,0.171835121,1747.439941,15.6290998,244.2687606,11507,43.0303993,0,0.109295
AA34,-0.873500574,0.763003252,-1.041543704,1.084813288,-1.062996083,-0.956642931,-0.458740469,-0.239404764,0.109824654,1639.329956,10.6391001,113.1904509,4837,38.4902,0,0.116853
AA35,-0.94922454,0.901027227,-1.019167352,1.038702092,-1.122348794,-1.222989411,-0.458740469,-0.322176948,0.147795604,1603.219971,11.0150003,121.3302316,3717,35.1258011,0,0.112225
AA39,0.164763256,0.027146931,-0.136709797,0.018689569,0.246844049,-0.233610753,-0.181487471,-0.456118365,0.082779768,2134.439941,25.8393993,667.6745562,29554,47.6232986,3274,0.104736
AA40,0.188795215,0.035643633,-0.236787219,0.056068187,0.077370862,-0.333114431,-0.427746396,0.185920493,-0.079526821,2145.899902,24.1581993,583.6185934,26356,46.3664017,366,0.140634
AA42,0.670212083,0.449184236,0.00100085,1.00E-06,0.586744304,-0.778938582,0.314248343,1.112636283,0.349644108,2375.469971,28.1527996,792.5801253,35968,40.7349014,9128,0.192449
AA52,-0.236840015,0.056093193,1.239289307,1.535837986,1.864735347,0.303777029,4.063769117,2.670337947,10.85163688,1942.930054,48.9547997,2396.572414,60084,54.4113998,53405,0.279544
AA53,-0.1347774,0.018164948,0.828865969,0.687018795,1.742585349,-0.254850957,4.029726446,2.391706174,9.637921622,1991.599976,42.0601006,1769.052062,57779,47.3549995,53003,0.263965
AA54,-0.161640308,0.026127589,0.681392744,0.464296071,1.500723054,-0.261294923,3.71749926,2.474138541,9.197608196,1978.790039,39.5826988,1566.790044,53215,47.2736015,49316,0.268574
AA55,-0.382835702,0.146563175,1.135925932,1.290327722,1.780210728,0.254591129,3.690908716,2.469756695,9.115646511,1873.310059,47.218399,2229.577204,58489,53.7901001,49002,0.268329
AB17,1.982915101,3.931952297,2.505133218,6.275692439,-0.648163031,2.402969907,-0.458740469,-0.647837557,0.297189305,3001.449951,70.2197037,4930.806788,12665,80.9276962,0,0.0940165
AB18,1.320000113,1.742400297,1.287494522,1.657642143,1.363734878,0.870131559,-0.458740469,-0.32362564,0.148460178,2685.330078,49.7645988,2476.515294,50630,61.5653992,0,0.112144
AB19,0.506769162,0.256814984,0.201429557,0.040573866,0.451292939,0.261644824,-0.458740469,-0.519216953,0.238185828,2297.530029,31.5198002,993.4978046,33412,53.8792,0,0.101208
AB20,0.860497176,0.74045539,2.602739909,6.774255034,1.614394093,2.678531769,-0.458740469,-0.670598119,0.307630496,2466.209961,71.8593979,5163.773067,55360,84.4085007,0,0.0927439
AB21,0.949075988,0.900745231,1.020282136,1.040975638,1.560817673,0.077243138,-0.458740469,0.21509107,-0.098670978,2508.449951,45.2756996,2049.888974,54349,51.5499001,0,0.142265
AB23,-0.776009356,0.602190521,-0.267902136,0.071771555,-0.251983688,-0.147414468,-0.458740469,-0.656848064,0.301322789,1685.819946,23.6355,558.6368603,20141,48.712101,0,0.0935127
