"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z"
"G51",2.199616235,0.288795514,0.416994897,-0.458740469
"G52",-4.003763558,-0.569402507,-4.311235721,-0.458740469
"H51",1.246313271,0.517313272,0.152789258,0.869855222
"H52",2.333248357,-0.085557245,0.462584455,0.699641866
"H53",2.547812684,-0.858166181,1.197407427,-0.403526983
"I49",-0.358131082,2.209475022,0.047413162,0.077219893
"I50",0.329450521,1.340563833,-0.02193573,2.218182114
"I51",1.939721866,0.214214701,0.363122146,1.316136011
"I52",0.964735075,0.637197011,0.290459515,5.964738974
"I53",1.087577525,0.4122205,0.499450525,1.700174602
"I54",1.474414825,0.534035829,0.502281217,0.829884723
"J49",2.331063728,1.229622638,0.185754614,1.92289158
"J50",2.222906676,0.24082771,0.274627298,2.434124431
"J51",0.484497402,0.669050352,0.278213149,2.588417333
"J52",-0.487005581,1.523277883,-0.169420488,5.124003552
"J53",-0.579131228,2.092238275,-0.337980312,5.570284341
"J54",1.721421254,1.141037801,0.401036734,2.447335019
"J55",1.618869236,0.166211127,0.770576487,0.118714692
"J56",0.967973057,1.209949042,0.358424804,2.45800511
"J57",0.360737186,0.778918442,0.190367993,2.951539159
"J58",-1.540231993,2.114451554,-0.421232568,0.16749225
"K28",-0.207461923,0.96011226,-0.438554112,-0.386929063
"K48",1.626310996,3.414840469,-0.792827376,3.751711298
"K49",2.545247542,2.11169725,-0.313067505,4.885958904
"K50",1.506785655,1.876293733,-0.319358615,6.043240357
"K51",0.297586134,1.417505478,-0.206286302,4.421047798
"K54",2.397942904,1.724950126,-0.483011188,2.553104413
"K55",2.499426464,0.279405843,0.802535306,0.860794113
"K56",-0.087010662,1.589667327,-0.429054474,3.919553523
"K58",-1.218065388,2.398663473,-0.360020188,5.093009479
"K59",-1.459878415,2.009841679,0.23182645,0.032422448
"K60",-0.657624521,3.690485432,0.438489523,-0.439771419
"L25",-0.422881196,1.484342049,-1.103964707,-0.345772998
"L26",-0.681817638,0.609636092,-1.203532226,-0.39124791
"L28",-0.844971266,0.153065588,-1.787997254,-0.201811454
"L48",2.889255928,2.734527525,-0.466046233,4.686021723
"L49",2.436386244,1.806577664,-0.010381293,5.326396548
"L50",2.231013431,1.163161654,0.280226222,3.567440521
"L51",0.72540807,0.192824136,0.601932444,1.282347389
"L52",-0.692481373,2.27697334,-0.383422934,5.524640063
"L54",1.693704769,1.8694974,-0.449752216,3.821236256
"L55",2.229168844,0.446220051,0.658280067,2.232154852
"L56",0.051292413,-0.726744773,-0.761015492,2.235203449
"L58",-0.355154316,0.982289768,0.308263849,0.513592741
"L60",0.548400422,1.971961064,0.012728092,3.372753702
"L61",1.095319467,1.307261801,0.155431545,2.686903967
"L62",0.412662187,1.36547776,0.103739794,0.832086487
"M22",2.561912221,-0.763199946,1.217266303,-0.458740469
"M23",1.95810369,0.273128178,0.869032259,0.119307474
"M24",0.451437724,0.682768213,-0.95675283,0.605982179
"M25",-1.088652432,-0.060643318,-1.671129438,-0.397683838
"M26",-0.689947938,-0.137513423,-1.827400656,-0.31206906
"M48",3.113993262,1.091013212,0.399296029,1.95092174
"M49",2.318215047,0.833575268,0.553617147,2.542857739
"M50",2.613338325,0.456164159,0.666437315,1.763771732
"M51",0.944793139,1.384686343,0.333365317,3.146225978
"M54",0.314512045,2.124574513,-0.543489912,5.152711178
"M55",0.767951899,1.568580809,0.127876708,5.31581114
"M56",0.824191494,-2.060596686,-0.715950193,1.325281803
"N19",-0.652462825,-0.530377247,-0.448305384,-0.314016775
"N20",-0.936764416,-0.087470949,0.446185484,-0.458740469
"N21",-0.119864682,0.069345495,0.207081826,-0.451288342
"N22",1.029706854,-1.475645238,-1.091068135,-0.458740469
"N23",1.884970199,-0.440039672,-0.278676051,-0.291575711
"N24",1.152026246,0.322258512,-0.744302171,0.67169639
"N48",1.639975057,2.693391824,-0.117497838,4.841838925
"N49",3.150464581,0.140510257,0.743168073,0.503854165
"N50",2.094546781,-0.087131132,1.09968531,0.973846267
"N51",-0.231473227,2.124377777,0.120201225,4.481935063
"N53",3.28622697,1.56471763,-0.591113535,4.137358871
"N54",2.627366589,1.398547286,0.129763836,3.644671655
"N55",1.902402551,1.157366886,0.185272337,3.964689701
"O17",4.059466101,-1.348904356,2.030098428,-0.437484971
"O18",2.573644722,-1.049738715,1.046546214,-0.404289132
"O19",-0.719168358,-0.873273715,-0.68443167,-0.314101458
"O20",-0.513724272,-0.934548023,-0.397703877,-0.458740469
"O21",-0.453906336,0.200049712,0.71848591,-0.458740469
"O22",-0.210898018,-0.190810983,-0.182946273,-0.330614694
"O23",-0.700825492,-0.147081945,-0.409048661,-0.455183772
"O24",1.64403628,0.312475369,-0.447864832,0.933706401
"O48",0.901608183,1.587753623,0.050034458,3.031649525
"O49",0.921383711,0.494992684,0.632654339,0.369461829
"O50",1.384988712,0.05287333,0.994728519,-0.187415299
"O53",2.558373447,0.820000487,0.459837214,3.03723862
"O54",1.525587851,0.160684635,0.735555564,-0.243306252
"O55",1.39526439,0.727409391,0.165434451,2.267213722
"P11",-0.348504392,-0.192885653,1.554532374,-0.458740469
"P12",-0.582242378,0.208652439,1.521588009,-0.458740469
"P13",1.524083314,-0.647460181,1.852772878,-0.458740469
"P14",0.58896528,0.050279992,1.683227765,-0.458740469
"P15",-1.010539343,0.310329159,1.032496171,-0.458740469
"P16",-0.872885256,0.120139142,0.798886483,-0.458740469
"P17",0.619428403,-0.309138719,1.413758543,-0.458740469
"P18",1.08622338,-0.338327181,0.345255352,-0.458740469
"P21",-0.726997882,-0.677462415,-0.377404449,-0.314609558
"P22",1.933134753,-0.07833167,0.948195396,-0.224083151
"P23",1.584305323,0.253222076,0.762334764,0.424082533
"P24",0.237538686,0.850798607,0.292284183,0.759512932
"P25",1.946854379,0.171057985,-0.932343292,0.311961895
"P48",0.616831556,1.211093687,0.083503082,0.119138108
"P49",0.28172929,1.019973646,0.241116692,2.731193312
"P52",0.962534438,1.446980102,0.370000488,2.578763441
"P53",1.000819232,0.365611963,0.730963176,0.344988367
"Q10",1.848625118,-0.866539979,2.783626803,-0.458740469
"Q11",0.691010247,-0.462950468,1.755701477,-0.458740469
"Q12",-0.262759592,-0.276033423,1.041010263,-0.458740469
"Q13",-0.149314621,-0.387010388,0.92095491,-0.458740469
"Q14",-0.060711741,-0.476060237,1.138291572,-0.458740469
"Q15",-0.309863549,-0.028915174,1.00649312,-0.458740469
"Q16",0.007917197,-0.083804506,1.192206305,-0.458740469
"Q17",0.181449483,-0.380929459,0.575321171,-0.458740469
"Q18",1.121673955,-0.22416667,0.524971298,-0.458740469
"Q19",-0.208166779,0.822057272,-1.07672422,-0.145158352
"Q21",0.407785577,-0.467189234,-0.681978044,-0.458740469
"Q22",0.088001698,0.123125952,1.272459942,-0.458740469
"Q23",2.712469954,-1.234117867,2.067761125,-0.458740469
"Q24",0.686410868,0.181520761,0.70730854,-0.255161908
"Q25",1.629501265,-0.047426239,-0.71928441,-0.224506568
"Q26",-1.060445505,-0.41095852,-1.695455013,-0.458740469
"Q27",-0.155212277,-0.341635922,-1.505798877,-0.451373026
"Q28",0.879196233,-0.418541797,-2.182051372,-0.339675803
"Q48",0.689616843,1.498918395,0.167175156,1.08842272
"Q49",0.67459924,1.349810423,0.290983775,3.657966927
"Q50",-0.611470652,2.188209653,0.123367771,3.352514403
"R10",2.891108368,-1.782841283,2.073024708,-0.458740469
"R11",1.358634224,-0.49705733,1.661397284,-0.458740469
"R12",0.550355842,-0.467439625,1.172263465,-0.458740469
"R13",0.186294387,-0.107877834,1.518631371,-0.458740469
"R14",0.93752564,-0.53517045,0.839086513,-0.458740469
"R15",0.241109174,-0.326344173,0.660922354,-0.458740469
"R16",0.009318446,-0.224792648,1.186817289,-0.458740469
"R17",-0.701545754,-0.00664824,0.925023038,-0.458740469
"R18",-0.445490951,-0.061305067,0.753863165,-0.458740469
"R19",-0.242817664,-0.71447918,-0.678580855,-0.458740469
"R20",-0.316133563,-1.524745167,-1.175389901,-0.458740469
"R21",-0.030628528,-0.491834884,-0.591847446,-0.458740469
"R22",0.784750962,-0.037249624,0.828936671,-0.435791305
"R23",2.183458298,-1.430989752,2.180854685,-0.458740469
"R24",0.491772762,0.131120586,0.98080442,-0.457808953
"R25",-0.579994329,-0.23137436,-0.35391774,-0.458740469
"R26",-1.161722805,-0.879370741,-1.227501213,-0.458740469
"R27",-0.726166487,-0.35540744,-0.47388913,-0.452389225
"R28",0.078137644,0.365969665,-0.264646742,0.446100181
"R29",0.158475524,-0.088722905,-1.512110978,0.216693225
"R30",-0.365406443,0.332542437,-1.283261348,0.415614207
"R49",0.63157222,1.803537199,-0.177850361,3.752134714
"S9",2.579684624,-0.653802233,1.573657595,-0.458740469
