"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z","Rgd_Avail","NDVI","Alt","Forest"
"AA17",2.633794848,-0.8754861,1.85826736,-0.419870852,83.843399,0.0812881,2942.01001,459
"AA18",0.76923447,-0.471857242,1.4240758,-0.458740469,60.2909012,0.103856,2734.959961,0
"AA19",0.215997698,-0.644144286,0.320992493,-0.458740469,53.3026009,0.094223,2208.939941,0
"AA20",1.977753289,-0.525458848,1.777279555,-0.458740469,75.5565033,0.100859,2903.389893,0
"AA21",1.340608149,0.166765564,-0.170804348,-0.458740469,67.5083008,0.139563,1974.420044,0
"AA22",-0.005334946,-0.436087068,-0.883587187,-0.458740469,50.5068016,0.105856,1634.52002,0
"AA23",-0.154784954,-0.979049697,-1.172076675,-0.458740469,48.6189995,0.0754976,1496.949951,0
"AA25",-0.666419824,-2.086259998,-1.813161695,-0.458740469,42.1562004,0.0135907,1191.23999,0
"AA32",-0.910322956,-0.546988916,-1.050993794,-0.458740469,39.0752983,0.0996552,1554.689941,0
"AA33",-0.59721287,-0.374580253,-0.646789962,-0.458740469,43.0303993,0.109295,1747.439941,0
"AA34",-0.956642931,-0.239404764,-0.873500574,-0.458740469,38.4902,0.116853,1639.329956,0
"AA35",-1.222989411,-0.322176948,-0.94922454,-0.458740469,35.1258011,0.112225,1603.219971,0
"AA39",-0.233610753,-0.456118365,0.164763256,-0.181487471,47.6232986,0.104736,2134.439941,3274
"AA40",-0.333114431,0.185920493,0.188795215,-0.427746396,46.3664017,0.140634,2145.899902,366
"AA42",-0.778938582,1.112636283,0.670212083,0.314248343,40.7349014,0.192449,2375.469971,9128
"AA52",0.303777029,2.670337947,-0.236840015,4.063769117,54.4113998,0.279544,1942.930054,53405
"AA53",-0.254850957,2.391706174,-0.1347774,4.029726446,47.3549995,0.263965,1991.599976,53003
"AA54",-0.261294923,2.474138541,-0.161640308,3.71749926,47.2736015,0.268574,1978.790039,49316
"AA55",0.254591129,2.469756695,-0.382835702,3.690908716,53.7901001,0.268329,1873.310059,49002
"AB17",2.402969907,-0.647837557,1.982915101,-0.458740469,80.9276962,0.0940165,3001.449951,0
"AB18",0.870131559,-0.32362564,1.320000113,-0.458740469,61.5653992,0.112144,2685.330078,0
"AB19",0.261644824,-0.519216953,0.506769162,-0.458740469,53.8792,0.101208,2297.530029,0
"AB20",2.678531769,-0.670598119,0.860497176,-0.458740469,84.4085007,0.0927439,2466.209961,0
"AB21",0.077243138,0.21509107,0.949075988,-0.458740469,51.5499001,0.142265,2508.449951,0
"AB23",-0.147414468,-0.656848064,-0.776009356,-0.458740469,48.712101,0.0935127,1685.819946,0
"AB32",-0.407530802,-0.463952033,-1.362319787,-0.458740469,45.4263992,0.104298,1406.229981,0
"AB33",-0.044941877,-0.077401645,-0.321036091,-0.458740469,50.0065002,0.125911,1902.780029,0
"AB34",-1.252146412,-0.057388233,-0.289790192,-0.458740469,34.7574997,0.12703,1917.680054,0
"AB35",-1.23679601,-0.097576023,-0.405358112,-0.458740469,34.9514008,0.124783,1862.569946,0
"AB38",-0.260701201,-0.010833351,-0.236127094,-0.451457709,47.2811012,0.129633,1943.27002,86
"AB39",-0.494993342,0.294339891,0.519183456,-0.212904961,44.3216019,0.146696,2303.449951,2903
"AB40",-0.511143425,1.21363337,0.817927228,-0.161163488,44.1175995,0.198096,2445.909912,3514
"AB41",-1.065923999,1.394862958,0.628145403,-0.451373026,37.1097984,0.208229,2355.409912,87
"AB42",-0.975302287,1.705830968,0.705211503,-0.255754691,38.2545013,0.225616,2392.159912,2397
"AB43",-0.42140052,1.308889344,0.357627664,-0.035154795,45.2512016,0.203422,2226.409912,5002
"AB47",-0.340587897,1.816986784,0.413304091,3.654325547,46.2719994,0.231831,2252.959961,48570
"AB48",-0.279376565,1.581368646,0.583122086,4.062329502,47.0452003,0.218657,2333.939941,53388
"AB49",-0.201152643,2.060778407,0.518260883,3.651785049,48.0332985,0.245462,2303.01001,48540
"AB50",-0.479104792,2.043179481,0.577460189,3.392569586,44.5223007,0.244478,2331.23999,45479
"AB51",-0.129879136,2.838314685,0.258836549,4.534438685,48.9336014,0.288936,2179.300049,58963
"AB52",-0.167522794,2.714657193,0.318769511,4.709055571,48.4580994,0.282022,2207.879883,61025
"AB53",-0.258920034,2.522034804,0.254097226,3.95063228,47.3036003,0.271252,2177.040039,52069
"AB54",-0.316299661,2.003063231,0.71466916,3.89872144,46.5788002,0.242235,2396.669922,51456
"AB55",-0.172842735,2.322186841,0.046134256,2.638803874,48.3908997,0.260078,2077.870117,36578
"AC18",0.927392501,-0.423817898,1.725461859,-0.458740469,62.2887001,0.106542,2878.679932,0
"AC19",0.156646644,-0.384184545,1.855960415,-0.458740469,52.5528984,0.108758,2940.909912,0
"AC20",0.712163479,-0.331244687,1.638539789,-0.458740469,59.5699997,0.111718,2837.229981,0
"AC21",-0.349541445,-0.010797581,1.721309767,-0.458740469,46.1589012,0.129635,2876.699951,0
"AC22",0.18368998,0.401203287,0.908330707,-0.458740469,52.8945007,0.152671,2489.02002,0
"AC23",-0.143495783,-0.33192432,-0.592413687,-0.458740469,48.7616005,0.11168,1773.369995,0
"AC25",3.022817387,-0.656628077,-0.286476966,-0.458740469,88.7574005,0.093525,1919.26001,0
"AC26",1.805416293,-0.150641077,0.370230875,-0.382186801,73.3796005,0.121816,2232.419922,904
"AC33",-0.268752381,-0.107448591,-0.842422346,-0.458740469,47.1794014,0.124231,1654.150024,0
"AC35",0.238464906,-0.045369454,-0.454260896,-0.458740469,53.5863991,0.127702,1839.25,0
"AC40",-0.266757403,1.15516702,0.420874619,-0.39073981,47.2046013,0.194827,2256.570068,803
"AC41",0.253949994,1.444386764,0.467827047,0.207039334,53.7820015,0.210998,2278.959961,7862
"AC42",-0.253924737,1.744069284,0.874883074,0.497587604,47.3666992,0.227754,2473.070068,11293
"AC43",-0.609673478,1.621735288,0.953647385,0.725470261,42.8730011,0.220914,2510.629883,13984
"AC44",-0.390755291,1.828343815,0.58951815,1.005094391,45.6383018,0.232466,2336.98999,17286
"AC45",-0.657679787,1.534223557,0.725154343,2.179735913,42.2666016,0.216021,2401.669922,31157
"AC46",-0.402677743,1.192993979,0.720436011,3.175018286,45.4877014,0.196942,2399.419922,42910
"AC48",-0.003110448,0.776503955,1.13304898,0.953945701,50.5349007,0.173655,2596.179932,16682
"AC49",-0.382229366,1.045048538,1.131434221,-0.020165857,45.7459984,0.18867,2595.409912,5179
"AC50",-0.372943028,1.671652566,0.660922354,0.075272178,45.8633003,0.223705,2371.040039,6306
"AC51",-0.759922867,1.752314309,0.638819504,0.315179859,40.9751015,0.228215,2360.5,9139
"AC52",-0.41502782,1.398851332,0.428109294,0.843518728,45.3316994,0.208452,2260.02002,15378
"AC53",0.219275247,1.421493852,0.625377683,1.542748419,53.3440018,0.209718,2354.090088,23635
"AC54",0.373126529,2.09218462,0.265358047,0.591162608,55.2873993,0.247218,2182.409912,12398
