"id","Time","Walk","Ruggedness_z"
"AA17",1,0,0.344665805
"AA18",1,0,0.240657253
"AA19",1,0,-0.927224381
"AA20",1,1,4.268609809
"AA21",1,0,-1.124539675
"AA22",1,0,-0.665669571
"AA23",1,0,-0.846136522
"AA25",1,1,0.162783916
"AA32",1,0,-0.935485597
"AA33",1,0,-0.865840875
"AA34",1,1,-1.07275849
"AA35",1,0,-0.529661517
"AA39",1,1,-0.648324217
"AA40",1,0,-0.176066288
"AA42",1,1,2.927604295
"AA52",1,0,-0.466459041
"AA53",1,0,-0.286987783
"AA54",1,0,-0.951972833
"AA55",1,1,0.175499285
"AB17",1,1,2.927258425
"AB18",1,0,-0.712447302
"AB19",1,0,-0.038525144
"AB20",1,1,2.499728932
"AB21",1,0,0.417110133
"AB23",1,0,-0.794404396
"AB32",1,0,-0.270211637
"AB33",1,0,-0.712086295
"AB34",1,0,-0.540378553
"AB35",1,1,-0.489002144
"AB38",1,1,2.126544576
"AB39",1,1,2.233787447
"AB40",1,1,0.151747085
"AB41",1,1,-1.206478517
"AB42",1,0,-0.661902103
"AB43",1,1,-1.203941523
"AB47",1,0,0.085724471
"AB48",1,1,1.259870776
"AB49",1,0,-0.476180358
"AB50",1,1,1.072418824
"AB51",1,1,0.771721034
"AB52",1,1,0.994584636
"AB53",1,1,0.772180114
"AB54",1,1,-0.03765347
"AB55",1,0,-0.050176926
"AC18",1,1,-0.010725649
"AC19",1,1,0.197156581
"AC20",1,1,0.425300184
"AC21",1,0,0.420345337
"AC22",1,0,-0.555702418
"AC23",1,1,0.493301928
"AC25",1,1,1.496841128
"AC26",1,1,0.4325088
"AC33",1,0,-0.666298969
"AC35",1,0,-0.646955157
"AC40",1,1,2.782399306
"AC41",1,1,1.92489892
"AC42",1,1,1.894374253
"AC43",1,0,2.467090503
"AC44",1,1,-0.402960515
"AC45",1,0,-0.07425869
"AC46",1,1,-0.628128823
"AC48",1,0,-0.241561199
"AC49",1,0,-0.004524904
"AC50",1,0,-0.923167338
"AC51",1,0,-0.33032246
"AC52",1,0,-0.815866388
"AC53",1,0,0.138414235
"AC54",1,0,-0.641531029
"AC56",1,0,-0.651868608
"AD18",1,1,1.503093737
"AD19",1,0,1.164349815
"AD20",1,1,-1.441063973
"AD21",1,1,1.005239064
"AD22",1,1,1.454102213
"AD23",1,1,-1.364228868
"AD24",1,0,-0.999971524
"AD25",1,1,3.141883788
"AD26",1,1,0.50076159
"AD27",1,1,1.540960183
"AD35",1,1,-0.711627607
"AD39",1,1,0.620736215
"AD40",1,1,1.933599201
"AD41",1,1,3.230376302
"AD42",1,1,0.768739999
"AD43",1,0,0.35231336
"AD44",1,1,-0.494535389
"AD45",1,1,-0.495417407
"AD46",1,1,-0.002728365
"AD48",1,0,-0.82672809
